"regime","estimator","mse_paper_mean","mse_paper_sd","mse_gl_mean","mse_gl_sd","n"
"weak","pilot (paper alignment)",0.00495071089791777,0.00146609545696637,0.000141048051138094,6.29828053625878e-05,20
"weak","pilot + refined (lambda = 0)",0.000264356513451275,0.000153813903717152,0.000330266545979935,0.000160450224237735,20
"weak","pilot + refined (lambda = 1)",0.0070521087357147,0.00184272754086846,0.00705764865394712,0.00184324278712576,20
"weak","refined from truth (lambda = 0, oracle floor)",0.000151858872965511,0.000104116826573526,0.000280551891482009,0.00011763465621628,20
"weak","refined from truth (lambda = 1)",0.00705203201938005,0.00184272997067171,0.00705771877194751,0.00184339052539171,20
"weak","STM (published)",0.009,NA,NA,NA,NA
"strong","pilot (paper alignment)",0.0768339725570402,0.0176626381290729,0.00014728753003084,7.00972807135574e-05,20
"strong","pilot + refined (lambda = 0)",0.000384885848809645,0.000215496216806266,0.00059788623830374,0.000311830040245621,20
"strong","pilot + refined (lambda = 1)",0.0652252238127287,0.0291654727271953,0.0668668636391489,0.0274777461902925,20
"strong","refined from truth (lambda = 0, oracle floor)",0.000376333534138245,0.000202594649380016,0.000644368023637677,0.000297260685012417,20
"strong","refined from truth (lambda = 1)",0.0623216236647166,0.0321395075829696,0.0640972480957775,0.0306561351551667,20
"strong","STM (published)",0.021,NA,NA,NA,NA
