"estimator","rmse","rmse_norm","se_sd","cov_Bz0","cov_mean","bias_norm","se_med","sd_med","n_ok","M"
"proj",0.0173585652799579,0.071771129248365,1.09663936816178,0.875,0.966666666666667,0.0135067433923208,0.0128010156367971,0.0110464858175669,40,500
"onestep_uw",0.013175310471943,0.0544749462595823,1.07708795285225,0.954166666666667,0.96875,0.0042635321580081,0.0140558186365064,0.0122258133297076,40,500
"onestep_mw",0.01317537922153,0.0544752305132297,1.07708898109054,0.954166666666667,0.96875,0.00426370065759837,0.014055842499044,0.0122258251713026,40,500
"proj",0.0161632639216284,0.0668290083474825,1.00840941064891,0.722916666666667,0.954166666666667,0.0138097260559107,0.00903994098750091,0.00908475371124992,40,1000
"onestep_uw",0.0106991169146221,0.0442368185698683,0.932183125675281,0.93125,0.954166666666667,0.00348536098334101,0.00999017705556538,0.01084212952724,40,1000
"onestep_mw",0.0106992020069877,0.0442371703947495,0.932183065209571,0.93125,0.954166666666667,0.00348555335840914,0.0099901946793516,0.0108421551719263,40,1000
"proj",0.0155031336460411,0.0640996182990643,1.02378644313817,0.558333333333333,0.954166666666667,0.0143532260162931,0.00634116041880915,0.00593966907006093,40,2000
"onestep_uw",0.00751534453183263,0.0310731189496936,1.00899018784461,0.922916666666667,0.947916666666667,0.00328561799597047,0.00703078829297754,0.00692563585035803,40,2000
"onestep_mw",0.00751543008992246,0.0310734727001691,1.00899023942662,0.922916666666667,0.947916666666667,0.00328581501154336,0.00703080070767083,0.00692564720368992,40,2000
"proj",0.0142178937881047,0.0587856355780609,1.01888211927529,0.389583333333333,0.960416666666667,0.0136444691145334,0.00451053929753688,0.00442715474695324,40,4000
"onestep_uw",0.00605761867301629,0.0250459715827053,0.963316988523577,0.870833333333333,0.952083333333333,0.00372802471491169,0.00496745814243747,0.00508799773790129,40,4000
"onestep_mw",0.00605775453749345,0.0250465333311444,0.963316323051799,0.870833333333333,0.952083333333333,0.00372824909697817,0.00496746721293243,0.00508801059131564,40,4000
"proj",0.0143041030150175,0.0591420782602394,1.02773398280285,0.2375,0.964583333333333,0.0140310136947793,0.00318776079484595,0.00302744811916532,40,8000
"onestep_uw",0.0047455025788172,0.0196208657478151,1.0211982147882,0.833333333333333,0.95625,0.00359683527600504,0.00354149712335643,0.00340702492132032,40,8000
"onestep_mw",0.00474565859506822,0.0196215108162488,1.02119863451156,0.833333333333333,0.95625,0.00359704347650726,0.00354150379370941,0.00340703407002269,40,8000
